,url,creator,last_modified_by,product_name,quantity,brands,brands_tags,categories,categories_tags,categories_en,labels,labels_tags,labels_en,countries,countries_tags,countries_en,ingredients_text,ingredients_tags,ingredients_analysis_tags,serving_size,pnns_groups_1,pnns_groups_2,food_groups,food_groups_tags,food_groups_en,states,states_tags,states_en,nutrient_levels_tags,popularity_tags,main_category,main_category_en,image_url,image_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,created_datetime,last_modified_datetime,last_updated_datetime,nutriscore_grade,environmental_score_grade,last_image_datetime
0,1,12,12,1,38,19,19,36,36,36,59,59,59,6,31,31,53,53,46,40,63,63,64,64,64,2,2,2,62,20,36,36,1,1,58,58,55,55,47.0,47.0,58.0,6.0,7.0,59.0
1,1,12,2,1,38,19,19,36,36,36,59,59,59,6,31,31,1,1,17,40,63,63,64,64,64,1,1,1,62,2,36,36,1,1,58,58,55,55,72.0,45.0,57.0,6.0,7.0,57.0
2,1,12,9,1,1,1,1,36,36,36,3,3,3,15,31,31,53,53,46,40,63,63,64,64,64,2,2,2,62,1,36,36,1,1,58,58,1,1,45.0,69.0,23.0,6.0,,76.0
3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,6,12,63,63,64,64,64,1,1,1,1,2,1,1,1,1,1,1,1,1,61.0,85.0,54.0,4.0,7.0,80.0
4,1,12,12,1,1,1,1,2,2,2,59,59,59,2,4,4,1,1,3,1,11,2,2,2,2,1,1,1,62,1,2,2,1,1,58,58,1,1,34.0,76.0,61.0,6.0,7.0,79.0
5,1,12,7,1,4,1,1,1,1,1,1,1,1,2,2,2,1,1,17,1,11,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,91.0,99.0,72.0,2.0,7.0,82.0
6,1,7,12,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63,63,64,64,64,1,1,1,2,1,1,1,1,1,58,58,55,55,86.0,96.0,69.0,3.0,7.0,85.0
7,1,8,2,15,3,1,1,1,1,1,1,1,1,1,10,10,1,1,17,12,11,5,5,5,5,1,1,1,3,1,1,1,1,1,58,58,55,55,27.0,97.0,70.0,4.0,7.0,86.0
8,1,12,5,1,1,19,19,36,36,36,59,59,59,6,31,31,53,53,46,40,63,63,64,64,64,1,1,1,62,8,36,36,1,1,58,58,1,1,85.0,2.0,64.0,6.0,,34.0
9,1,1,7,15,3,1,1,1,1,1,1,1,1,6,8,8,1,1,6,40,11,2,2,2,2,1,1,1,1,8,1,1,1,1,1,1,55,55,52.0,63.0,55.0,4.0,7.0,70.0
10,1,2,5,15,3,1,1,1,1,1,59,59,59,2,3,3,53,53,46,1,63,63,64,64,64,1,1,1,2,8,1,1,1,1,1,1,1,1,97.0,87.0,56.0,2.0,7.0,71.0
11,1,7,5,1,4,19,19,36,36,36,59,59,59,1,8,8,53,53,46,40,63,63,64,64,64,1,1,1,62,1,36,36,1,1,58,58,55,55,83.0,89.0,15.0,6.0,,31.0
12,1,5,9,15,7,1,1,1,1,1,59,59,59,2,4,4,1,1,17,1,3,2,2,2,2,1,1,1,1,1,1,1,22,22,58,58,55,55,75.0,83.0,42.0,3.0,7.0,77.0
13,1,1,7,1,7,1,1,1,1,1,1,1,1,2,2,2,1,1,17,3,11,2,2,2,2,1,1,1,1,8,4,4,1,1,1,1,1,1,53.0,64.0,47.0,5.0,7.0,72.0
14,1,31,9,1,7,1,1,1,1,1,1,1,1,1,4,4,53,53,7,12,63,63,64,64,64,1,1,1,1,1,1,1,1,1,1,1,55,55,5.0,98.0,71.0,1.0,7.0,87.0
15,1,7,7,1,4,1,1,1,1,1,59,59,59,1,1,1,53,53,46,12,4,2,2,2,2,1,1,1,62,20,4,4,22,22,58,58,55,55,74.0,4.0,0.0,6.0,,
16,1,1,7,1,7,1,1,1,1,1,1,1,1,6,8,8,1,1,6,1,11,2,2,2,2,1,1,1,1,1,1,1,1,1,58,58,55,55,0.0,65.0,34.0,4.0,5.0,73.0
17,1,7,7,1,4,1,1,36,36,36,59,59,59,4,10,10,53,53,46,40,63,63,64,64,64,1,1,1,62,1,36,36,1,1,58,58,55,55,87.0,60.0,21.0,6.0,7.0,54.0
18,1,8,1,1,38,3,3,1,1,1,59,59,59,1,1,1,53,53,46,40,63,63,64,64,64,1,1,1,62,2,2,2,1,1,58,58,1,1,41.0,53.0,16.0,5.0,7.0,63.0
